PIXELS,LC,COUNTRY_ID
500,90,448
848,60,448
69,100,448
1,80,183
11695,130,651
14,130,449
662,210,651
5,70,449
384,61,651
4,60,517
380,12,651
6781,20,647
3,71,446
215,10,41
302,110,651
57,61,448
41,11,448
268,180,651
9,110,448
569,10,448
6,40,448
103100,10,637
183204,11,637
292737,60,637
85467,30,637
57559,100,637
38899,90,637
140,30,448
4524,180,637
8228,210,637
17593,70,637
15249,190,637
3034,180,448
3792,202,420
691,201,651
633,80,651
486,150,651
46,160,446
459,61,420
2105,40,637
583,200,651
48068,130,637
95869,120,420
1213,61,637
159,200,448
82,150,448
8988,201,399
204,80,518
2,160,518
66086,20,420
4,10,449
116,20,268
1782,180,650
137,122,420
314924,10,650
445099,60,650
23743,90,650
41194,100,650
12144,210,650
285288,11,650
23032,70,650
54028,130,650
25536,190,650
209032,30,650
867,12,650
1,11,40
190,202,647
6,200,449
4351,220,399
12121,40,650
14,153,420
716,150,650
3,10,40
6292,12,637
4,150,449
15,120,651
2,20,446
352,210,418
98,20,651
2465,210,417
706,180,417
1414,60,417
1243,10,417
4,20,517
27,62,39
6,120,517
1974,20,637
4097507,200,519
414924,150,519
17213,202,519
143972,210,519
3143,61,650
30,180,418
64192,210,626
606586,10,626
389662,190,626
157663,30,626
288320,40,626
2048479,60,626
584,20,447
112,200,518
443387,130,519
5324,130,626
2,180,449
1751,210,613
42,60,613
765,40,417
4,160,448
1731407,70,626
1094,200,417
1919,190,417
12731,210,625
4616,11,625
152643,100,626
16468,10,625
7226,30,625
11,200,418
10,190,418
651,30,417
3139,150,637
4,10,418
4417,190,625
42133,61,626
4059,40,625
63,210,648
344,180,648
11092,90,626
1,70,648
15004,60,625
447,110,637
30863,70,625
60883,11,626
343208,20,626
5,71,448
1958,70,417
2646,61,625
557,90,625
6571,100,625
586,100,417
1025,200,650
46,110,650
673887,120,519
139,80,625
3,30,40
90439,10,632
57779,100,632
46791,70,632
294677,60,632
3939,210,632
48591,11,632
976,180,632
103381,30,632
3485,110,519
84192,90,632
42,80,650
3529,20,625
759,130,625
1584,130,638
280,200,638
2120,150,638
3101,210,638
83271,130,632
12559,120,637
1306,120,638
124,201,638
4044,10,638
3151,100,519
601,190,638
3168,100,638
1613,11,638
609,210,639
7565,190,632
2766,30,638
2235,40,632
134,201,650
1173,60,638
13795,70,638
161,40,638
1391,90,638
180,150,625
2,20,638
7275,50,625
2686,61,632
451,210,636
2999,70,636
5759,80,626
702,90,636
907,100,636
13,110,625
74,40,636
105,60,636
7,210,649
1023,10,636
55,30,636
101,11,636
13279,180,626
916,120,636
396,130,636
189,150,636
3598,12,638
80,70,639
4,180,638
1159,200,637
983,12,632
100,12,636
15,60,248
52,190,636
1473,11,417
163,20,417
7,201,636
873,110,632
3460,120,417
6,20,518
36,80,637
3,190,639
85,201,637
39023,120,399
18,200,636
532,150,632
2454,110,626
10,202,648
62252,190,519
4,150,639
605,150,626
29,130,639
171,201,632
1021,50,626
14458,210,633
386749,11,633
414149,10,633
126330,30,633
37650,190,633
58258,30,519
29,200,632
27828,10,519
70441,40,519
1246064,20,519
11038,180,519
60896,100,633
87926,70,633
493355,60,633
3840,12,633
1255,180,633
82693,40,633
77561,11,519
50342,90,633
6801,61,633
29516,130,633
15476,20,633
7,202,466
274,11,421
37,200,421
109,190,421
363,10,421
75,30,421
49,60,421
54,40,421
14,11,248
536,20,632
18,120,639
2,10,639
13,202,633
55580,210,236
510895,130,236
694431,60,236
170,210,237
8132,180,236
114402,190,236
671941,70,236
2783,70,519
1150122,100,236
3,71,399
816,60,519
45,190,402
